cep	status	bairro_sugerido	bairro_principal_original	clientes_total	clientes_principal	clientes_a_alterar	percentual_principal	familias	variacoes
03387020	SEGURO	JARDIM COLORADO	JARDIM COLORADO	1	1	0	100.0	1	JARDIM COLORADO (1)
12174465	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	100.0	1	JARDIM NOVA ESPERANÇA (1)
12929662	SEGURO	VILA MARIA JOSE	VILA MARIA JOSÉ	1	1	0	100.0	1	VILA MARIA JOSÉ (1)
14580535	SEGURO	PROGRESSO	SETOR PROGRESSO	1	1	0	100.0	1	SETOR PROGRESSO (1)
47744120	SEGURO	JARDIM DAS HORTENCIAS	JARDIM DAS HORTENCIAS	1	1	0	100.0	1	JARDIM DAS HORTENCIAS (1)
49980000	SEGURO	CENTRO	CENTRO	1	1	0	100.0	1	CENTRO (1)
53401010	SEGURO	CENTRO	Centro	1	1	0	100.0	1	Centro (1)
55192110	SEGURO	CENTRO	CENTRO	2	1	1	100.0	1	CENTRO (1) | Centro (1)
57200000	BLOQUEADO	CENTRO	CENTRO	3	1	2	66.67	2	CENTRO (1) | Centro (1) | DOM COSTANTINO (1)
62993713	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	100.0	1	JARDIM NOVA ESPERANÇA (1)
66147446	SEGURO	NOROESTE	SETOR NOROESTE	1	1	0	100.0	1	SETOR NOROESTE (1)
69074660	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	1	1	0	100.0	1	JARDIM LIBERDADE (1)
70000000	BLOQUEADO	JARDIM COLORADO	JARDIM COLORADO	12	2	10	16.67	10	JARDIM COLORADO (2) | JARDIM DAS HORTENCIAS (1) | JARDIM HELLOU (1) | JARDIM NOVO MUNDO (1) | MORADA DO SOL (1) | SETOR CANDIDA DE MORAIS (1) | SETOR PROGRESSO (1) | VILA MARIA DILCE (1) | VILA MUTIRÃO 1 (1) | Vila São José (1) | VILA SÃO JOSE (1)
70470517	SEGURO	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO	1	1	0	100.0	1	JARDIM NOVO MUNDO (1)
70713174	SEGURO	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO	1	1	0	100.0	1	JARDIM NOVO MUNDO (1)
