cep	status	bairro_sugerido	bairro_principal	clientes_total	clientes_alterar	clientes_provaveis	clientes_excecao	confianca	alteraveis	provaveis	excecoes	todas_variacoes
03387020	SEGURO	COLORADO	JARDIM COLORADO	1	1	0	0	100.0	JARDIM COLORADO (1)			JARDIM COLORADO (1)
12174465	SEGURO	NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	0	100.0	JARDIM NOVA ESPERANÇA (1)			JARDIM NOVA ESPERANÇA (1)
12929662	SEGURO	MARIA JOSE	VILA MARIA JOSÉ	1	1	0	0	100.0	VILA MARIA JOSÉ (1)			VILA MARIA JOSÉ (1)
14580535	SEGURO	PROGRESSO	SETOR PROGRESSO	1	1	0	0	100.0	SETOR PROGRESSO (1)			SETOR PROGRESSO (1)
47744120	SEGURO	DAS HORTENCIAS	JARDIM DAS HORTENCIAS	1	1	0	0	100.0	JARDIM DAS HORTENCIAS (1)			JARDIM DAS HORTENCIAS (1)
49980000	SEGURO	CENTRO	CENTRO	1	1	0	0	100.0	CENTRO (1)			CENTRO (1)
53401010	SEGURO	CENTRO	Centro	1	1	0	0	100.0	Centro (1)			Centro (1)
55192110	SEGURO	CENTRO	CENTRO	2	2	0	0	50.0	CENTRO (1) | Centro (1)			CENTRO (1) | Centro (1)
57200000	BLOQUEADO	CENTRO	CENTRO	3	2	0	1	33.33	CENTRO (1) | Centro (1)		DOM COSTANTINO (1) [28.57%]	CENTRO (1) | Centro (1) | DOM COSTANTINO (1)
62993713	SEGURO	NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	0	100.0	JARDIM NOVA ESPERANÇA (1)			JARDIM NOVA ESPERANÇA (1)
66147446	SEGURO	NOROESTE	SETOR NOROESTE	1	1	0	0	100.0	SETOR NOROESTE (1)			SETOR NOROESTE (1)
69074660	SEGURO	LIBERDADE	JARDIM LIBERDADE	1	1	0	0	100.0	JARDIM LIBERDADE (1)			JARDIM LIBERDADE (1)
70000000	BLOQUEADO	COLORADO	JARDIM COLORADO	12	2	0	10	16.67	JARDIM COLORADO (2)		JARDIM DAS HORTENCIAS (1) [14.29%] | JARDIM HELLOU (1) [12.5%] | JARDIM NOVO MUNDO (1) [40.0%] | MORADA DO SOL (1) [30.77%] | SETOR CANDIDA DE MORAIS (1) [23.53%] | SETOR PROGRESSO (1) [22.22%] | VILA MARIA DILCE (1) [9.09%] | VILA MUTIRÃO 1 (1) [22.22%] | Vila São José (1) [0.0%] | VILA SÃO JOSE (1) [0.0%]	JARDIM COLORADO (2) | JARDIM DAS HORTENCIAS (1) | JARDIM HELLOU (1) | JARDIM NOVO MUNDO (1) | MORADA DO SOL (1) | SETOR CANDIDA DE MORAIS (1) | SETOR PROGRESSO (1) | VILA MARIA DILCE (1) | VILA MUTIRÃO 1 (1) | Vila São José (1) | VILA SÃO JOSE (1)
