========================================================================================================================
AUDITORIA DE PADRONIZAÇÃO DE BAIRROS — V3.8
========================================================================================================================
MODO: SOMENTE LEITURA — NENHUMA ALTERAÇÃO NO IXC

Clientes analisados: 15593

DISTRIBUIÇÃO POR AÇÃO V3.8
------------------------------------------------------------------------------------------------------------------------
CORRECAO_SEGURA: 179
PADRONIZACAO_REVISAR: 538
PRESERVAR: 4564
SEM_ALTERACAO: 10312

========================================================================================================================
CORREÇÕES ORTOGRÁFICAS SEGURAS
========================================================================================================================

   46 | CANDIDA DE MORAES -> SETOR CÂNDIDA DE MORAIS
   40 | SETOR CÂNDIDA DE MORAIS -> CANDIDA DE MORAES
   26 | RESIDENCIAL GOIÂNIA VIVA -> RESIDENCIAL GOI NIA VIVA
   15 | Setor Cândida de Morais -> CANDIDA DE MORAES
    8 | RESIDENCIAL GOI NIA VIVA -> RESIDENCIAL GOIÂNIA VIVA
    6 | RESIDENCIAL GOIANIA VIVA -> RESIDENCIAL GOI NIA VIVA
    4 | JARDIM HELLOU -> RESIDENCIAL JARDIM HELOU
    2 | JARDIM DAS HORTENSIAS -> JARDIM DAS HORTÊNCIAS
    2 | JARDIM DAS HORTENCIA -> JARDIM DAS HORTENCIAS
    2 | RESIDENCIAL GOINIA VIVA -> RESIDENCIAL GOI NIA VIVA
    1 | JARDIN NOVA ESPERANÇA -> JARDIM NOVA ESPERANÇA
    1 | AEOROVIARIO -> SETOR AEROVIARIO
    1 | AEOROVIÁRIO -> SETOR AEROVIARIO
    1 | AEOROVIARIO -> AEROVIÁRIO
    1 | FAZENDA CAVEIRAS -> FAZENDA CAVEIRA
    1 | JARDIM PETROPLIS -> JARDIM PETRÓPOLIS
    1 | CÂNDIDA DE MORAIS -> CANDIDA DE MORAES
    1 | SETOR CANDIDADE MORAES -> SETOR CÂNDIDA DE MORAIS
    1 | CANDIDO DE MORAES -> CANDIDA DE MORAES
    1 | SETOR CANDIDA DE MORAES -> SETOR CÂNDIDA DE MORAIS
    1 | JARDIM NOVA ESPERANÇAA -> JARDIM NOVA ESPERANÇA
    1 | JARDIM COLORADO 1 -> JARDIM COLORADO
    1 | JARDIM  DAS HORTENCIA -> JARDIM DAS HORTÊNCIAS
    1 | JARDIM DAS HORTÊNSIAS -> JARDIM DAS HORTÊNCIAS
    1 | JARDIM DAS HORTENCIA -> JARDIM DAS HORTÊNCIAS
    1 | JARDIM DAS HORTENSIAS -> JARDIM DAS HORTENCIAS
    1 | JARDIM DAS HORTÊNSIAS -> JARDIM DAS HORTENCIAS
    1 | JARDIN DAS HORTENCIAS -> JARDIM DAS HORTÊNCIAS
    1 | JARDIM DAS HORTÊNCIA -> JARDIM DAS HORTÊNCIAS
    1 | PARQUE TREMENDÃO 2 -> PARQUE TREMENDÃO
    1 | MANÇOES PARAÍSO -> MANSÕES PARAÍSO
    1 | RESIDÊNCIAL GOIÂNIA VIVA -> RESIDENCIAL GOI NIA VIVA
    1 | RESIDENCIAL GOINIA VIVA -> RESIDENCIAL GOIÂNIA VIVA
    1 | RESIDENCIAL ANA MORAIS -> RESIDENCIAL ANA MORAES
    1 | HUGO DE MORAIS -> RESIDENCIAL HUGO DE MORAES
    1 | RESIDENCIAL HUGO DE MORAIS -> RESIDENCIAL HUGO DE MORAES
    1 | JARDIM NOVO MUNDO 3 -> JARDIM NOVO MUNDO
    1 | CONJUNTO RIVIEIRA -> CONJUNTO RIVIERA

========================================================================================================================
EXEMPLOS DE PADRONIZAÇÃO QUE NÃO SERÁ AUTOMATIZADA
========================================================================================================================

CLIENTE #23308 | CEP 74394620 | BUENA VISTA IV -> RESIDENCIAL BUENA VISTA IV
CLIENTE #15560 | CEP 74435030 | SETOR AEROVIÁRIO -> Aeroviário
CLIENTE #17430 | CEP 74435030 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #17574 | CEP 74435030 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #18082 | CEP 74435030 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #19497 | CEP 74435030 | SETOR AEROVIÁRIO -> Aeroviário
CLIENTE #7844 | CEP 74435050 | SETOR AEROVIARIO -> AEROVIÁRIO
CLIENTE #16784 | CEP 74435060 | SETOR AEROVIÁRIO -> AEROVIÁRIO
CLIENTE #20367 | CEP 74435090 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #20982 | CEP 74435090 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #21508 | CEP 74435090 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #21935 | CEP 74435090 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #22601 | CEP 74435090 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #23317 | CEP 74435090 | Aeroviário -> SETOR AEROVIARIO
CLIENTE #23498 | CEP 74435090 | Aeroviário -> SETOR AEROVIARIO
CLIENTE #7997 | CEP 74435110 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #19629 | CEP 74435110 | AEROVIARIO -> SETOR AEROVIARIO
CLIENTE #20789 | CEP 74435110 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #21393 | CEP 74435110 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #21433 | CEP 74435110 | Aeroviário -> SETOR AEROVIARIO
CLIENTE #21589 | CEP 74435110 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #6994 | CEP 74435120 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #7794 | CEP 74435120 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #7963 | CEP 74435120 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #6697 | CEP 74435200 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #7807 | CEP 74435200 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #15510 | CEP 74435200 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #15814 | CEP 74435200 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #16939 | CEP 74435200 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #18577 | CEP 74435200 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #6948 | CEP 74435220 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #17289 | CEP 74435220 | SETOR AEROVIARIO -> Aeroviário
CLIENTE #17343 | CEP 74435220 | SETOR AEROVIÁRIO -> Aeroviário
CLIENTE #19576 | CEP 74435230 | AEROVIARIO -> SETOR AEROVIARIO
CLIENTE #20068 | CEP 74435230 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #8248 | CEP 74435240 | SETOR AEROVIARIO -> AEROVIÁRIO
CLIENTE #7978 | CEP 74435250 | SETOR AEROVIARIO -> AEROVIARIO
CLIENTE #19482 | CEP 74435250 | SETOR AEROVIÁRIO -> AEROVIARIO
CLIENTE #6901 | CEP 74435260 | SETOR AEROVIARIO -> AEROVIÁRIO
CLIENTE #19542 | CEP 74435265 | SETOR AEROVIARIO -> AEROVIÁRIO
CLIENTE #7787 | CEP 74435290 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #20997 | CEP 74435290 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #21312 | CEP 74435290 | AEROVIÁRIO -> SETOR AEROVIARIO
CLIENTE #21811 | CEP 74435290 | Aeroviário -> SETOR AEROVIARIO
CLIENTE #20171 | CEP 74440280 | SETOR SÃO JOSÉ -> SAO JOSE
CLIENTE #19788 | CEP 74440420 | SÃO JOSÉ -> Setor São José
CLIENTE #19583 | CEP 74450020 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #19068 | CEP 74450100 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #19226 | CEP 74450100 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #19941 | CEP 74450100 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #16188 | CEP 74450180 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #20251 | CEP 74450330 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #19357 | CEP 74450390 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #21090 | CEP 74450390 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #7542 | CEP 74450400 | BAIRRO CAPUAVA -> CAPUAVA
CLIENTE #18911 | CEP 74450400 | BAIRRO CAPUAVA -> CAPUAVA
