cep	clientes	status	bairro_padrao_gravacao	familias	motivo
03387020	1	SEGURO	JARDIM COLORADO	JARDIM COLORADO (1)	Todas as variantes pertencem à mesma família
12174465	1	SEGURO	JARDIM NOVA ESPERANÇA	JARDIM NOVA ESPERANÇA (1)	Todas as variantes pertencem à mesma família
12929662	1	SEGURO	VILA MARIA JOSÉ	VILA MARIA JOSÉ (1)	Todas as variantes pertencem à mesma família
14580535	1	SEGURO	SETOR PROGRESSO	SETOR PROGRESSO (1)	Todas as variantes pertencem à mesma família
47744120	1	SEGURO	JARDIM DAS HORTENCIAS	JARDIM DAS HORTENCIAS (1)	Todas as variantes pertencem à mesma família
49980000	1	SEGURO	CENTRO	CENTRO (1)	Todas as variantes pertencem à mesma família
53401010	1	SEGURO	Centro	Centro (1)	Todas as variantes pertencem à mesma família
55192110	2	SEGURO	CENTRO	CENTRO (1) | Centro (1)	Todas as variantes pertencem à mesma família
57200000	3	BLOQUEADO		CENTRO (1) | Centro (1) || DOM COSTANTINO (1)	CEP possui famílias de bairros estruturalmente distintas
62993713	1	SEGURO	JARDIM NOVA ESPERANÇA	JARDIM NOVA ESPERANÇA (1)	Todas as variantes pertencem à mesma família
66147446	1	SEGURO	SETOR NOROESTE	SETOR NOROESTE (1)	Todas as variantes pertencem à mesma família
69074660	1	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (1)	Todas as variantes pertencem à mesma família
70000000	12	BLOQUEADO		JARDIM COLORADO (2) || Vila São José (1) | VILA SÃO JOSE (1) || SETOR CANDIDA DE MORAIS (1) || JARDIM HELLOU (1) || VILA MUTIRÃO 1 (1) || JARDIM DAS HORTENCIAS (1) || VILA MARIA DILCE (1) || MORADA DO SOL (1) || SETOR PROGRESSO (1) || JARDIM NOVO MUNDO (1)	CEP possui famílias de bairros estruturalmente distintas
70470517	1	SEGURO	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO (1)	Todas as variantes pertencem à mesma família
70713174	1	SEGURO	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO (1)	Todas as variantes pertencem à mesma família
72460480	1	SEGURO	JARDIM CURITIBA IV	JARDIM CURITIBA IV (1)	Todas as variantes pertencem à mesma família
73463480	1	SEGURO	SANTOS DUMONT	SANTOS DUMONT (1)	Todas as variantes pertencem à mesma família
