TIPO	ORDEM	CLIENTES_GRUPO	NORMALIZADO	ATUAL	PADRAO	QTD
CORRECAO_ORTOGRAFICA	1	2119	JARDIM NOVA ESPERANCA	Jardim Nova Esperança	JARDIM NOVA ESPERANÇA	205
CORRECAO_ORTOGRAFICA	1	2119	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	18
CORRECAO_ORTOGRAFICA	1	2119	JARDIM NOVA ESPERANCA	Jardim nova esperança	JARDIM NOVA ESPERANÇA	1
CORRECAO_ORTOGRAFICA	1	2119	JARDIM NOVA ESPERANCA	Jardim Nova esperança	JARDIM NOVA ESPERANÇA	1
CORRECAO_ORTOGRAFICA	1	2119	JARDIM NOVA ESPERANCA	JARDIM NOVA  ESPERANÇA	JARDIM NOVA ESPERANÇA	1
CORRECAO_ORTOGRAFICA	2	1166	JARDIM COLORADO	Jardim Colorado	JARDIM COLORADO	62
CORRECAO_ORTOGRAFICA	3	1129	JARDIM NOVO MUNDO	Jardim Novo Mundo	JARDIM NOVO MUNDO	100
CORRECAO_ORTOGRAFICA	3	1129	JARDIM NOVO MUNDO	JARDIM  NOVO MUNDO	JARDIM NOVO MUNDO	4
CORRECAO_ORTOGRAFICA	3	1129	JARDIM NOVO MUNDO	Jardim novo mundo	JARDIM NOVO MUNDO	1
CORRECAO_ORTOGRAFICA	4	907	JARDIM LIBERDADE	Jardim Liberdade	JARDIM LIBERDADE	47
CORRECAO_ORTOGRAFICA	5	671	JARDIM DAS HORTENCIAS	JARDIM DAS HORTENCIAS	JARDIM DAS HORTÊNCIAS	412
CORRECAO_ORTOGRAFICA	5	671	JARDIM DAS HORTENCIAS	Jardim das Hortências	JARDIM DAS HORTÊNCIAS	30
CORRECAO_ORTOGRAFICA	6	550	VILA MUTIRAO	VILA MUTIRAO	VILA MUTIRÃO	22
CORRECAO_ORTOGRAFICA	6	550	VILA MUTIRAO	Vila Mutirão	VILA MUTIRÃO	16
CORRECAO_ORTOGRAFICA	6	550	VILA MUTIRAO	VILA  MUTIRÃO	VILA MUTIRÃO	1
CORRECAO_ORTOGRAFICA	6	550	VILA MUTIRAO	VILA MUTIRÂO	VILA MUTIRÃO	1
CORRECAO_ORTOGRAFICA	6	550	VILA MUTIRAO	Vila mutirão	VILA MUTIRÃO	1
CORRECAO_ORTOGRAFICA	7	498	NOVO PLANALTO	Novo Planalto	NOVO PLANALTO	1
CORRECAO_ORTOGRAFICA	8	498	CANDIDA DE MORAES	CANDIDA DE MORAES	CÂNDIDA DE MORAES	495
CORRECAO_ORTOGRAFICA	9	349	JARDIM VISTA BELA	Jardim Vista Bela	JARDIM VISTA BELA	21
CORRECAO_ORTOGRAFICA	10	321	JARDIM CURITIBA IV	Jardim Curitiba IV	JARDIM CURITIBA IV	2
CORRECAO_ORTOGRAFICA	10	321	JARDIM CURITIBA IV	JARDIM CURITIBA  IV	JARDIM CURITIBA IV	1
CORRECAO_ORTOGRAFICA	11	305	SANTOS DUMONT	santos dumont	SANTOS DUMONT	1
CORRECAO_ORTOGRAFICA	12	296	VILA JOAO VAZ	Vila João Vaz	VILA JOÃO VAZ	33
CORRECAO_ORTOGRAFICA	12	296	VILA JOAO VAZ	VILA JOAO VAZ	VILA JOÃO VAZ	26
CORRECAO_ORTOGRAFICA	13	274	SAO CARLOS	São Carlos	SÃO CARLOS	34
CORRECAO_ORTOGRAFICA	13	274	SAO CARLOS	SAO CARLOS	SÃO CARLOS	13
CORRECAO_ORTOGRAFICA	14	272	MANSOES PARAISO	MANSÕES PARAISO	MANSÕES PARAÍSO	146
CORRECAO_ORTOGRAFICA	14	272	MANSOES PARAISO	MANSOES PARAISO	MANSÕES PARAÍSO	42
CORRECAO_ORTOGRAFICA	14	272	MANSOES PARAISO	MANSÔES PARAISO	MANSÕES PARAÍSO	2
CORRECAO_ORTOGRAFICA	14	272	MANSOES PARAISO	MANSÓES PARAISO	MANSÕES PARAÍSO	1
CORRECAO_ORTOGRAFICA	14	272	MANSOES PARAISO	MANSOÊS PARAISO	MANSÕES PARAÍSO	1
CORRECAO_ORTOGRAFICA	15	269	CAPUAVA	Capuava	CAPUAVA	51
CORRECAO_ORTOGRAFICA	16	251	SETOR SANTOS DUMONT	Setor Santos Dumont	SETOR SANTOS DUMONT	63
