CEP	BAIRRO_PADRAO_CANDIDATO	CLIENTES	SITUACAO	VARIACOES_OU_FAMILIAS
03387020	JARDIM COLORADO	1	AUTO	JARDIM COLORADO (1)
12174465	JARDIM NOVA ESPERANCA	1	AUTO	JARDIM NOVA ESPERANÇA (1)
12929662	VILA MARIA JOSE	1	AUTO	VILA MARIA JOSÉ (1)
14580535	PROGRESSO	1	AUTO	SETOR PROGRESSO (1)
47744120	JARDIM DAS HORTENCIAS	1	AUTO	JARDIM DAS HORTENCIAS (1)
49980000	CENTRO	1	AUTO	CENTRO (1)
53401010	CENTRO	1	AUTO	Centro (1)
55192110	CENTRO	2	AUTO	CENTRO (2)
57200000	CENTRO	3	REVISAR	CENTRO (2) | DOM COSTANTINO (1)
62993713	JARDIM NOVA ESPERANCA	1	AUTO	JARDIM NOVA ESPERANÇA (1)
66147446	NOROESTE	1	AUTO	SETOR NOROESTE (1)
69074660	JARDIM LIBERDADE	1	AUTO	JARDIM LIBERDADE (1)
70000000	JARDIM COLORADO	12	REVISAR	JARDIM COLORADO (2) | VILA SAO JOSE (2) | CANDIDA DE MORAIS (1) | JARDIM HELLOU (1) | PROGRESSO (1) | JARDIM NOVO MUNDO (1) | VILA MARIA DILCE (1) | VILA MUTIRAO 1 (1) | JARDIM DAS HORTENCIAS (1) | MORADA DO SOL (1)
70470517	JARDIM NOVO MUNDO	1	AUTO	JARDIM NOVO MUNDO (1)
70713174	JARDIM NOVO MUNDO	1	AUTO	JARDIM NOVO MUNDO (1)
72460480	JARDIM CURITIBA IV	1	AUTO	JARDIM CURITIBA IV (1)
73463480	SANTOS DUMONT	1	AUTO	SANTOS DUMONT (1)
