CEP	CLIENTES	CANDIDATO	PERCENTUAL_CANDIDATO	FAMILIAS
57200000	3	CENTRO	66.7%	CENTRO (2) | DOM COSTANTINO (1)
70000000	12	JARDIM COLORADO	16.7%	JARDIM COLORADO (2) | VILA SAO JOSE (2) | CANDIDA DE MORAIS (1) | JARDIM HELLOU (1) | PROGRESSO (1) | JARDIM NOVO MUNDO (1) | VILA MARIA DILCE (1) | VILA MUTIRAO 1 (1) | JARDIM DAS HORTENCIAS (1) | MORADA DO SOL (1)
74000000	4180	JARDIM NOVA ESPERANCA	14.6%	JARDIM NOVA ESPERANCA (612) | JARDIM NOVO MUNDO (405) | JARDIM COLORADO (341) | JARDIM LIBERDADE (283) | VILA MUTIRAO (246) | NOVO PLANALTO (195) | JARDIM DAS HORTENCIAS (181) | SANTOS DUMONT (165) | JARDIM CURITIBA IV (131) | MANSOES PARAISO (109) | JARDIM VISTA BELA (102) | CANDIDA DE MORAES (100) | VILA SAO JOSE (90) | VILA JOAO VAZ (69) | SAO CARLOS (68) | CAPUAVA (67) | DA VITORIA (52) | PARQUE TREMENDAO (50) | RESIDENCIAL FORTALEZA (43) | JARDIM PETROPOLIS (42) | VILA FINSOCIAL (42) | NOROESTE (40) | AEROVIARIO (40) | MARABA (39) | RESIDENCIAL PRIVE NORTE (38) | VILA REGINA (34) | RESIDENCIAL MARINGA (34) | NOVO MUNDO (31) | MORADA DO SOL (30) | RESIDENCIAL GREEN PARK (28) | ALBINO BOAVENTURA (27) | PERIM (26) | PROGRESSO (25) | JARDIM CLARISSA (22) | JARDIM HELLOU (20) | VILA CRISTINA (18) | JARDIM GRAMADO (17) | VILA MORAIS (17) | VILA MARIA DILCE (17) | BARRA DA TIJUCA (17) | VILA MARIA LUIZA (15) | JARDIM BONANZA (13) | CANDIDA DE MORAIS (13) | JARDIM CAMARGO (12) | RESIDENCIAL ITAMARACA (11) | RESIDENCIAL ANGLO (10) | AGUA BRANCA (9) | JD NOVA ESPERANCA (9) | ESPLANADA DO ANICUNS (8) | VILA MUTIRAO II (8) | RESIDENCIAL 14 BIS (8) | RESIDENCIAL HUGO DE MORAES (8) | SEVENE (7) | VALE DOS CARAIBAS (7) | SAO JOSE (6) | JARDIM BRASIL (6) | VISTA BELA (6) | VILA MARTINS (5) | RESIDENCIAL MANSOES PARAISO (4) | JD NOVO MUNDO (4) | PQ TREMENDAO (4) | EMPRESARIAL (3) | VILA ROMANA (3) | JD DAS HORTENCIAS (3) | VILA MUTIRAO I (3) | RESIDENCIAL VALE DO ARAGUAIA (3) | PARQUE INDUSTRIAL PAULISTA (3) | NOVA ESPERANCA (3) | CONJUNTO RIVIERA (3) | RESIDENCIAL ARUANA (2) | FINSOCIAL (2) | RESIDENCIAL ANGULO (2) | JARDIM CALIFORNIA (2) | RECREIO SAO JOAQUIM (2) | MANSOES ROSAS DE OURO (2) | JOAO VAZ (2) | JARDIM HELOU (2) | CHACARAS MANSOES ROSAS DE OURO (2) | JD COLORADO (2) | JARDIM CURITIBA II (2) | VALE DAS CARAIBAS (2) | VILA MORAIS NOVO MUNDO (1) | MARIA LUIZA (1) | CENTRO (1) | PARUE TREMENDAO (1) | COLORADO (1) | NOVO MUNDO II (1) | PQ INDUSTRIAL PAULISTA (1) | JD NOVO PETROPOLIS (1) | JARDIM CURITIBA I (1) | PARQUE MARACANA (1) | VILA CLEMENTE (1) | RESIDENCIAL ARAGUAIA (1) | CONDOMINIO PORTAL DAS HORTENCIAS (1) | CRIMEIA OESTE (1) | VILA MARTINS EXTENSAO NOVO MUNDO (1) | JARDIM NOVO PETROPOLIS (1) | VALE DO ARAGUAIA (1) | VILA MULTIRAO (1) | JARDIM COLORADO EXTECAO (1) | JARDIM NOVO MUNDO II (1) | CURITIBA I (1) | JARDIM NOVA ESPERANCAA (1) | CONDOMINIO RIO BRANCO (1) | JARDIM EMANUELE (1) | ESTRELA DALVA (1) | NOVO PLALNALTO (1) | JD CALIFORNIA (1) | JD LIBERDADE (1) | JARDIM LAGO AZUL (1) | JARDIM EMANUELY (1) | CAPUAVA RESIDENCIAL PRIVE (1) | JARDIM COLORADO EXTENSAO (1) | SAO MARCOS I (1) | PARQUE TREMEDAO (1) | RESIDENCIAL ALBINO BOAVENTURA (1) | RESIDENCIAL EMANUELE (1) | JARDIM CALIFONIA (1) | RESIDENCIAL BUENA VISTA 4 (1) | CH RECREIO SAO JOAQUIM (1) | JARDIM CURITIBA 04 (1) | JARDIM CURITIBA III (1) | JD CURITIBA (1) | JARDIM CURITIBA 1 (1) | RESIDENCIAL FLORESTA (1) | PARQUE INDUSTRIAL JOAO BRAZ (1) | JD EMANUELLE NOVO MUNDO (1)
74140000	4	JARDIM DAS HORTENCIAS	25.0%	JARDIM DAS HORTENCIAS (1) | JARDIM COLORADO (1) | MORADA DO SOL (1) | MANSOES PARAISO (1)
74340500	3	JARDIM NOVA ESPERANCA	66.7%	JARDIM NOVA ESPERANCA (2) | JARDIN NOVA ESPERANCA (1)
74354632	2	JARDIM CARAVELAS	50.0%	JARDIM CARAVELAS (1) | JARDIM CARAVELAS 1 ETAPA (1)
74354636	2	JARDM CARAVELAS	50.0%	JARDM CARAVELAS (1) | JARDIM CRAVELAS (1)
74354640	2	JARDIM CARAVELAS	50.0%	JARDIM CARAVELAS (1) | CARAVELAS (1)
74375110	2	PARQUE OESTE INDUSTRIAL	50.0%	PARQUE OESTE INDUSTRIAL (1) | GOIA (1)
74393820	2	LOTEAMENTO ALPHAVILLE RESIDENCIAL	50.0%	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1) | RESIDENCIAL ALPHAVILLE (1)
74394225	5	RESIDENCIAL BUENA VISTA I	80.0%	RESIDENCIAL BUENA VISTA I (4) | RESIDENCIALBUENA VISTA I (1)
74394230	2	RESIDENCIAL BUENA VISTA I	50.0%	RESIDENCIAL BUENA VISTA I (1) | RESI8DENCIAL BUENA VISTA I (1)
74394240	2	RESIENCIAL BUENA VISTA I	50.0%	RESIENCIAL BUENA VISTA I (1) | RESIDENCIAL BUENA VISTA I (1)
74394620	3	RESIDENCIAL BUENA VISTA IV	66.7%	RESIDENCIAL BUENA VISTA IV (2) | BUENA VISTA IV (1)
74400000	63	JARDIM NOVO MUNDO	20.6%	JARDIM NOVO MUNDO (13) | JARDIM COLORADO (10) | JARDIM NOVA ESPERANCA (6) | JARDIM CURITIBA IV (4) | JARDIM DAS HORTENCIAS (3) | VILA JOAO VAZ (2) | NOVO PLANALTO (2) | VILA CRISTINA CONTINUACAO (2) | MANSOES PARAISO (2) | JARDIM VISTA BELA (1) | JARDIM GRAMADO (1) | CANDIDA DE MORAIS (1) | ESTRELA DALVA (1) | JARDIM LIBERDADE (1) | MORADA DO SOL (1) | VILA MUTIRAO (1) | NOROESTE (1) | VILA ROMANA (1) | PARQUE INDUSTRIAL PAULISTA (1) | JARDIM PETROPOLIS (1) | VILA REGINA (1) | RESIDENCIAL FORTALEZA (1) | SANTOS DUMONT (1) | CONJUNTO RESIDENCIAL ARUANA III (1) | VILA MARTINS (1) | DA VITORIA (1) | CAPUAVA (1) | JARDIM NOVO PETROPOLIS (1)
74435115	9	AEROVIARIO	88.9%	AEROVIARIO (8) | VILA SAO JOSE (1)
74435280	7	AEROVIARIO	85.7%	AEROVIARIO (6) | VILA SAO JOSE (1)
74440030	2	VILA SAO JOSE	50.0%	VILA SAO JOSE (1) | SAO JOSE (1)
74440060	16	SAO JOSE	75.0%	SAO JOSE (12) | VILA SAO JOSE (4)
74440080	3	VILA SAO JOSE	66.7%	VILA SAO JOSE (2) | SAO JOSE (1)
74440120	3	SAO JOSE	66.7%	SAO JOSE (2) | AEROVIARIO (1)
74440130	4	SAO JOSE	75.0%	SAO JOSE (3) | VILA SAO JOSE (1)
74440140	4	SAO JOSE	75.0%	SAO JOSE (3) | VILA SAO JOSE (1)
74440145	7	SAO JOSE	57.1%	SAO JOSE (4) | VILA SAO JOSE (3)
74440240	7	SAO JOSE	71.4%	SAO JOSE (5) | VILA SAO JOSE (2)
74440245	5	VILA SAO JOSE	60.0%	VILA SAO JOSE (3) | SAO JOSE (2)
74440250	11	SAO JOSE	63.6%	SAO JOSE (7) | VILA SAO JOSE (4)
74440300	9	SAO JOSE	66.7%	SAO JOSE (6) | VILA SAO JOSE (3)
74440310	7	SAO JOSE	85.7%	SAO JOSE (6) | VILA SAO JOSE (1)
74440340	7	SAO JOSE	57.1%	SAO JOSE (4) | VILA SAO JOSE (3)
74440360	4	SAO JOSE	50.0%	SAO JOSE (2) | VILA SAO JOSE (2)
74440410	2	VILA SAO JOSE	50.0%	VILA SAO JOSE (1) | SAO JOSE (1)
74440460	3	SAO JOSE	66.7%	SAO JOSE (2) | VILA SAO JOSE (1)
74440470	3	VILA SAO JOSE	66.7%	VILA SAO JOSE (2) | SAO JOSE (1)
74440480	8	SAO JOSE	87.5%	SAO JOSE (7) | VILA SAO JOSE (1)
74440500	3	SAO JOSE	66.7%	SAO JOSE (2) | VILA SAO JOSE (1)
74440510	2	VILA SAO JOSE	50.0%	VILA SAO JOSE (1) | SAO JOSE (1)
74440530	7	SAO JOSE	85.7%	SAO JOSE (6) | VILA SAO JOSE (1)
74440550	11	SAO JOSE	72.7%	SAO JOSE (8) | VILA SAO JOSE (3)
74440560	7	SAO JOSE	85.7%	SAO JOSE (6) | VILA SAO JOSE (1)
74440590	6	VILA SAO JOSE	83.3%	VILA SAO JOSE (5) | SAO JOSE (1)
74440630	5	VILA SAO JOSE	60.0%	VILA SAO JOSE (3) | SAO JOSE (2)
74440640	11	SAO JOSE	81.8%	SAO JOSE (9) | VILA SAO JOSE (2)
74440670	5	SAO JOSE	80.0%	SAO JOSE (4) | VILA SAO JOSE (1)
74440700	3	SAO JOSE	66.7%	SAO JOSE (2) | VILA SAO JOSE (1)
74440710	2	VILA SAO JOSE	50.0%	VILA SAO JOSE (1) | SAO JOSE (1)
74441010	2	VILA SAO JOSE	50.0%	VILA SAO JOSE (1) | SAO JOSE (1)
74445160	27	VILA JOAO VAZ	96.3%	VILA JOAO VAZ (26) | CAPUAVA (1)
74445190	5	VILA JOAO VAZ	80.0%	VILA JOAO VAZ (4) | NOROESTE (1)
74445230	18	VILA JOAO VAZ	94.4%	VILA JOAO VAZ (17) | JOAO VAZ (1)
74445260	12	VILA JOAO VAZ	91.7%	VILA JOAO VAZ (11) | CAPUAVA (1)
74445300	2	CAPUAVA RESIDENCIAL PRIVE	50.0%	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
74445302	12	CAPUAVA RESIDENCIAL PRIVE	83.3%	CAPUAVA RESIDENCIAL PRIVE (10) | CAPUAVA (2)
74445305	2	CAPUAVA RESIDENCIAL PRIVE	50.0%	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
74445360	2	FAZENDA CAVEIRA	50.0%	FAZENDA CAVEIRA (1) | FAZENDA CAVEIRAS (1)
