CEP	BAIRRO_PADRAO_CANDIDATO	CLIENTES	PERCENTUAL	STATUS	VARIACOES
03387020	JARDIM COLORADO	1	100.0	AUTO_UNICO	JARDIM COLORADO (1)
12174465	JARDIM NOVA ESPERANCA	1	100.0	AUTO_UNICO	JARDIM NOVA ESPERANÇA (1)
12929662	VILA MARIA JOSE	1	100.0	AUTO_UNICO	VILA MARIA JOSÉ (1)
14580535	PROGRESSO	1	100.0	AUTO_UNICO	SETOR PROGRESSO (1)
47744120	JARDIM DAS HORTENCIAS	1	100.0	AUTO_UNICO	JARDIM DAS HORTENCIAS (1)
49980000	CENTRO	1	100.0	AUTO_UNICO	CENTRO (1)
53401010	CENTRO	1	100.0	AUTO_UNICO	Centro (1)
55192110	CENTRO	2	100.0	AUTO_UNICO	CENTRO (2)
62993713	JARDIM NOVA ESPERANCA	1	100.0	AUTO_UNICO	JARDIM NOVA ESPERANÇA (1)
66147446	NOROESTE	1	100.0	AUTO_UNICO	SETOR NOROESTE (1)
69074660	JARDIM LIBERDADE	1	100.0	AUTO_UNICO	JARDIM LIBERDADE (1)
70470517	JARDIM NOVO MUNDO	1	100.0	AUTO_UNICO	JARDIM NOVO MUNDO (1)
70713174	JARDIM NOVO MUNDO	1	100.0	AUTO_UNICO	JARDIM NOVO MUNDO (1)
72460480	JARDIM CURITIBA IV	1	100.0	AUTO_UNICO	JARDIM CURITIBA IV (1)
73463480	SANTOS DUMONT	1	100.0	AUTO_UNICO	SANTOS DUMONT (1)
74000197	JARDIM LIBERDADE	1	100.0	AUTO_UNICO	JARDIM LIBERDADE (1)
74075120	AEROVIARIO	1	100.0	AUTO_UNICO	SETOR AEROVIARIO (1)
74133090	DA VITORIA	1	100.0	AUTO_UNICO	BAIRRO DA VITORIA (1)
74160200	JARDIM NOVA ESPERANCA	1	100.0	AUTO_UNICO	JARDIM NOVA ESPERANÇA (1)
74175460	VILA MULTIDAO LL	1	100.0	AUTO_UNICO	VILA MULTIDÃO LL (1)
74215030	JARDIM DAS HORTENCIAS	1	100.0	AUTO_UNICO	JARDIM DAS HORTÊNCIAS (1)
74230903	CANDIDA DE MORAES	1	100.0	AUTO_UNICO	CANDIDA DE MORAES (1)
74320440	VILA JOAO VAZ	1	100.0	AUTO_UNICO	VILA JOAO VAZ (1)
74323065	CAPUAVA	1	100.0	AUTO_UNICO	BAIRRO CAPUAVA (1)
74353550	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74354608	JARDIM CARAVELAS	1	100.0	AUTO_UNICO	JARDIM CARAVELAS (1)
74354612	JARDIM CARAVELAS	1	100.0	AUTO_UNICO	JARDIM CARAVELAS (1)
74354616	JARDIM CARAVELAS	1	100.0	AUTO_UNICO	JARDIM CARAVELAS (1)
74354618	JARDIM CARAVELA	1	100.0	AUTO_UNICO	JARDIM CARAVELA (1)
74354643	JARDIM CARAVELAS	1	100.0	AUTO_UNICO	JARDIM CARAVELAS (1)
74354647	JARDIM CARAVELAS	1	100.0	AUTO_UNICO	JARDIM CARAVELAS (1)
74354665	JARDIM CARAVELAS	1	100.0	AUTO_UNICO	JARDIM CARAVELAS (1)
74354676	JARDIM CARAVELAS	1	100.0	AUTO_UNICO	JARDIM CARAVELAS (1)
74354814	VILA SAO JOSE	1	100.0	AUTO_UNICO	Vila são José (1)
74356285	RESIDENCIAL SANTA FE	1	100.0	AUTO_UNICO	RESIDENCIAL SANTA FÉ (1)
74370150	RIO FORMOSO	1	100.0	AUTO_UNICO	SETOR RIO FORMOSO (1)
74370220	RIO FORMOSO	1	100.0	AUTO_UNICO	SETOR RIO FORMOSO (1)
74370489	SANTA RITA VII	1	100.0	AUTO_UNICO	SETOR SANTA RITA VII (1)
74370520	SANTA RITA VII	1	100.0	AUTO_UNICO	SETOR SANTA RITA VII (1)
74370601	RESIDENCIAL CANADA	1	100.0	AUTO_UNICO	RESIDENCIAL CANADÁ (1)
74370612	RESIDENCIAL CANADA	1	100.0	AUTO_UNICO	RESIDENCIAL CANADÁ (1)
74370613	RESIDENCIAL CANADA	1	100.0	AUTO_UNICO	RESIDENCIAL CANÁDA (1)
74370645	RESIDENCIAL VEREDAS DOS BURITIS	1	100.0	AUTO_UNICO	RESIDENCIAL VEREDAS DOS BURITIS (1)
74370663	RESIDENCIAL VEREDA DOS BURITIS	1	100.0	AUTO_UNICO	RESIDENCIAL VEREDA DOS BURITIS (1)
74370675	RESIDENCIAL VEREDA DOS BURITIS	1	100.0	AUTO_UNICO	RESIDENCIAL VEREDA DOS BURITIS (1)
74370684	RESIDENCIAL VEREDA DOS BURITIS	1	100.0	AUTO_UNICO	RESIDENCIAL VEREDA DOS BURITIS (1)
74370702	RESIDENCIAL FORTEVILLE	1	100.0	AUTO_UNICO	RESIDENCIAL FORTEVILLE (1)
74370707	RESIDENCIAL FORTEVILLE	1	100.0	AUTO_UNICO	RESIDENCIAL FORTEVILLE (1)
74370766	RESIDENCIAL SANTA RITA 4 ETAPA	1	100.0	AUTO_UNICO	RESIDENCIAL SANTA RITA - 4ª ETAPA (1)
74371070	RESIDENCIAL ELI FORTE	1	100.0	AUTO_UNICO	RESIDENCIAL ELI FORTE (1)
74371135	RESIDENCIAL TALISMA	1	100.0	AUTO_UNICO	RESIDENCIAL TALISMA (1)
74371350	MOINHO DOS VENTOS	1	100.0	AUTO_UNICO	MOINHO DOS VENTOS (1)
