CEP	BAIRRO_CANDIDATO	CLIENTES	PERCENTUAL	STATUS	FAMILIAS
57200000	CENTRO	3	66.7	REVISAR_AMBIGUO	CENTRO (2) | DOM COSTANTINO (1)
70000000	JARDIM COLORADO	12	16.7	REVISAR_AMBIGUO	JARDIM COLORADO (2) | VILA SAO JOSE (2) | JARDIM NOVO MUNDO (1) | VILA MUTIRAO 1 (1) | VILA MARIA DILCE (1) | JARDIM DAS HORTENCIAS (1) | MORADA DO SOL (1) | PROGRESSO (1) | CANDIDA DE MORAIS (1) | JARDIM HELLOU (1)
74000000	JARDIM NOVA ESPERANCA	4180	14.6	REVISAR_AMBIGUO	JARDIM NOVA ESPERANCA (612) | JARDIM NOVO MUNDO (405) | JARDIM COLORADO (341) | JARDIM LIBERDADE (283) | VILA MUTIRAO (246) | NOVO PLANALTO (195) | JARDIM DAS HORTENCIAS (181) | SANTOS DUMONT (165) | JARDIM CURITIBA IV (131) | MANSOES PARAISO (109) | JARDIM VISTA BELA (102) | CANDIDA DE MORAES (100) | VILA SAO JOSE (90) | VILA JOAO VAZ (69) | SAO CARLOS (68) | CAPUAVA (67) | DA VITORIA (52) | PARQUE TREMENDAO (50) | RESIDENCIAL FORTALEZA (43) | JARDIM PETROPOLIS (42) | VILA FINSOCIAL (42) | NOROESTE (40) | AEROVIARIO (40) | MARABA (39) | RESIDENCIAL PRIVE NORTE (38) | RESIDENCIAL MARINGA (34) | VILA REGINA (34) | NOVO MUNDO (31) | MORADA DO SOL (30) | RESIDENCIAL GREEN PARK (28) | ALBINO BOAVENTURA (27) | PERIM (26) | PROGRESSO (25) | JARDIM CLARISSA (22) | JARDIM HELLOU (20) | VILA CRISTINA (18) | JARDIM GRAMADO (17) | VILA MORAIS (17) | VILA MARIA DILCE (17) | BARRA DA TIJUCA (17) | VILA MARIA LUIZA (15) | JARDIM BONANZA (13) | CANDIDA DE MORAIS (13) | JARDIM CAMARGO (12) | RESIDENCIAL ITAMARACA (11) | RESIDENCIAL ANGLO (10) | AGUA BRANCA (9) | JD NOVA ESPERANCA (9) | RESIDENCIAL 14 BIS (8) | RESIDENCIAL HUGO DE MORAES (8) | ESPLANADA DO ANICUNS (8) | VILA MUTIRAO II (8) | SEVENE (7) | VALE DOS CARAIBAS (7) | SAO JOSE (6) | JARDIM BRASIL (6) | VISTA BELA (6) | VILA MARTINS (5) | RESIDENCIAL MANSOES PARAISO (4) | JD NOVO MUNDO (4) | PQ TREMENDAO (4) | JD DAS HORTENCIAS (3) | VILA MUTIRAO I (3) | RESIDENCIAL VALE DO ARAGUAIA (3) | PARQUE INDUSTRIAL PAULISTA (3) | NOVA ESPERANCA (3) | CONJUNTO RIVIERA (3) | EMPRESARIAL (3) | VILA ROMANA (3) | MANSOES ROSAS DE OURO (2) | JARDIM CALIFORNIA (2) | RECREIO SAO JOAQUIM (2) | JOAO VAZ (2) | JARDIM HELOU (2) | CHACARAS MANSOES ROSAS DE OURO (2) | JD COLORADO (2) | JARDIM CURITIBA II (2) | VALE DAS CARAIBAS (2) | RESIDENCIAL ARUANA (2) | FINSOCIAL (2) | RESIDENCIAL ANGULO (2) | VALE DO ARAGUAIA (1) | VILA MULTIRAO (1) | JARDIM COLORADO EXTECAO (1) | JARDIM NOVO MUNDO II (1) | CURITIBA I (1) | JARDIM NOVA ESPERANCAA (1) | CONDOMINIO RIO BRANCO (1) | JARDIM EMANUELE (1) | ESTRELA DALVA (1) | NOVO PLALNALTO (1) | JD CALIFORNIA (1) | JD LIBERDADE (1) | JARDIM LAGO AZUL (1) | JARDIM EMANUELY (1) | CAPUAVA RESIDENCIAL PRIVE (1) | JARDIM COLORADO EXTENSAO (1) | SAO MARCOS I (1) | PARQUE TREMEDAO (1) | RESIDENCIAL ALBINO BOAVENTURA (1) | RESIDENCIAL EMANUELE (1) | JARDIM CALIFONIA (1) | RESIDENCIAL BUENA VISTA 4 (1) | CH RECREIO SAO JOAQUIM (1) | JD EMANUELLE NOVO MUNDO (1) | JARDIM CURITIBA 04 (1) | JARDIM CURITIBA III (1) | JD CURITIBA (1) | JARDIM CURITIBA 1 (1) | RESIDENCIAL FLORESTA (1) | PARQUE INDUSTRIAL JOAO BRAZ (1) | PQ INDUSTRIAL PAULISTA (1) | VILA MORAIS NOVO MUNDO (1) | MARIA LUIZA (1) | CENTRO (1) | PARUE TREMENDAO (1) | COLORADO (1) | NOVO MUNDO II (1) | VILA MARTINS EXTENSAO NOVO MUNDO (1) | JARDIM NOVO PETROPOLIS (1) | JD NOVO PETROPOLIS (1) | JARDIM CURITIBA I (1) | PARQUE MARACANA (1) | VILA CLEMENTE (1) | RESIDENCIAL ARAGUAIA (1) | CONDOMINIO PORTAL DAS HORTENCIAS (1) | CRIMEIA OESTE (1)
74140000	JARDIM COLORADO	4	25.0	REVISAR_AMBIGUO	JARDIM COLORADO (1) | MORADA DO SOL (1) | MANSOES PARAISO (1) | JARDIM DAS HORTENCIAS (1)
74340500	JARDIM NOVA ESPERANCA	3	66.7	REVISAR_AMBIGUO	JARDIM NOVA ESPERANCA (2) | JARDIN NOVA ESPERANCA (1)
74354632	JARDIM CARAVELAS	2	50.0	REVISAR_AMBIGUO	JARDIM CARAVELAS (1) | JARDIM CARAVELAS 1 ETAPA (1)
74354636	JARDIM CRAVELAS	2	50.0	REVISAR_AMBIGUO	JARDIM CRAVELAS (1) | JARDM CARAVELAS (1)
74354640	JARDIM CARAVELAS	2	50.0	REVISAR_AMBIGUO	JARDIM CARAVELAS (1) | CARAVELAS (1)
74375110	PARQUE OESTE INDUSTRIAL	2	50.0	REVISAR_AMBIGUO	PARQUE OESTE INDUSTRIAL (1) | GOIA (1)
74393820	RESIDENCIAL ALPHAVILLE	2	50.0	REVISAR_AMBIGUO	RESIDENCIAL ALPHAVILLE (1) | LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
