CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	PERCENTUAL	QTD_FAMILIAS	SIMILARIDADE	FAMILIAS	ORIGINAIS
57200000	3	05_BAIRROS_DIFERENTES_REVISAR	CENTRO	66.7	2	0.400	CENTRO (2) | DOM COSTANTINO (1)	CENTRO (2) | DOM COSTANTINO (1)
70000000	12	06_CEP_AMBIGUO	JARDIM COLORADO	16.7	10	0.143	JARDIM COLORADO (2) | VILA SAO JOSE (2) | JARDIM NOVO MUNDO (1) | VILA MARIA DILCE (1) | VILA MUTIRAO 1 (1) | JARDIM DAS HORTENCIAS (1) | MORADA DO SOL (1) | CANDIDA DE MORAIS (1) | JARDIM HELLOU (1) | PROGRESSO (1)	JARDIM COLORADO (2) | Vila São José (2) | JARDIM NOVO MUNDO (1) | VILA MARIA DILCE (1) | VILA MUTIRÃO 1 (1) | JARDIM DAS HORTENCIAS (1) | MORADA DO SOL (1) | SETOR CANDIDA DE MORAIS (1) | JARDIM HELLOU (1) | SETOR PROGRESSO (1)
74000000	4180	06_CEP_AMBIGUO	JARDIM NOVA ESPERANCA	14.6	127	0.632	JARDIM NOVA ESPERANCA (612) | JARDIM NOVO MUNDO (405) | JARDIM COLORADO (341) | JARDIM LIBERDADE (283) | VILA MUTIRAO (246) | NOVO PLANALTO (195) | JARDIM DAS HORTENCIAS (181) | SANTOS DUMONT (165) | JARDIM CURITIBA IV (131) | MANSOES PARAISO (109) | JARDIM VISTA BELA (102) | CANDIDA DE MORAES (100) | VILA SAO JOSE (90) | VILA JOAO VAZ (69) | SAO CARLOS (68) | CAPUAVA (67) | DA VITORIA (52) | PARQUE TREMENDAO (50) | RESIDENCIAL FORTALEZA (43) | JARDIM PETROPOLIS (42) | VILA FINSOCIAL (42) | NOROESTE (40) | AEROVIARIO (40) | MARABA (39) | RESIDENCIAL PRIVE NORTE (38) | RESIDENCIAL MARINGA (34) | VILA REGINA (34) | NOVO MUNDO (31) | MORADA DO SOL (30) | RESIDENCIAL GREEN PARK (28) | ALBINO BOAVENTURA (27) | PERIM (26) | PROGRESSO (25) | JARDIM CLARISSA (22) | JARDIM HELLOU (20) | VILA CRISTINA (18) | JARDIM GRAMADO (17) | VILA MORAIS (17) | VILA MARIA DILCE (17) | BARRA DA TIJUCA (17) | VILA MARIA LUIZA (15) | JARDIM BONANZA (13) | CANDIDA DE MORAIS (13) | JARDIM CAMARGO (12) | RESIDENCIAL ITAMARACA (11) | RESIDENCIAL ANGLO (10) | AGUA BRANCA (9) | JD NOVA ESPERANCA (9) | RESIDENCIAL 14 BIS (8) | RESIDENCIAL HUGO DE MORAES (8) | VILA MUTIRAO II (8) | ESPLANADA DO ANICUNS (8) | SEVENE (7) | VALE DOS CARAIBAS (7) | SAO JOSE (6) | JARDIM BRASIL (6) | VISTA BELA (6) | VILA MARTINS (5) | RESIDENCIAL MANSOES PARAISO (4) | JD NOVO MUNDO (4) | PQ TREMENDAO (4) | JD DAS HORTENCIAS (3) | VILA MUTIRAO I (3) | RESIDENCIAL VALE DO ARAGUAIA (3) | PARQUE INDUSTRIAL PAULISTA (3) | CONJUNTO RIVIERA (3) | NOVA ESPERANCA (3) | EMPRESARIAL (3) | VILA ROMANA (3) | JARDIM CALIFORNIA (2) | RECREIO SAO JOAQUIM (2) | MANSOES ROSAS DE OURO (2) | JOAO VAZ (2) | CHACARAS MANSOES ROSAS DE OURO (2) | JARDIM HELOU (2) | JD COLORADO (2) | JARDIM CURITIBA II (2) | VALE DAS CARAIBAS (2) | FINSOCIAL (2) | RESIDENCIAL ANGULO (2) | RESIDENCIAL ARUANA (2) | JARDIM NOVO MUNDO II (1) | VALE DO ARAGUAIA (1) | VILA MULTIRAO (1) | JARDIM COLORADO EXTECAO (1) | JARDIM NOVA ESPERANCAA (1) | CONDOMINIO RIO BRANCO (1) | JARDIM EMANUELE (1) | ESTRELA DALVA (1) | NOVO PLALNALTO (1) | CURITIBA I (1) | JARDIM EMANUELY (1) | CAPUAVA RESIDENCIAL PRIVE (1) | JD CALIFORNIA (1) | JD LIBERDADE (1) | JARDIM LAGO AZUL (1) | JARDIM COLORADO EXTENSAO (1) | SAO MARCOS I (1) | JARDIM CALIFONIA (1) | RESIDENCIAL BUENA VISTA 4 (1) | CH RECREIO SAO JOAQUIM (1) | PARQUE TREMEDAO (1) | RESIDENCIAL ALBINO BOAVENTURA (1) | RESIDENCIAL EMANUELE (1) | JD CURITIBA (1) | JARDIM CURITIBA 1 (1) | RESIDENCIAL FLORESTA (1) | PARQUE INDUSTRIAL JOAO BRAZ (1) | JD EMANUELLE NOVO MUNDO (1) | JARDIM CURITIBA 04 (1) | JARDIM CURITIBA III (1) | PARUE TREMENDAO (1) | COLORADO (1) | NOVO MUNDO II (1) | PQ INDUSTRIAL PAULISTA (1) | VILA MORAIS NOVO MUNDO (1) | MARIA LUIZA (1) | CENTRO (1) | RESIDENCIAL ARAGUAIA (1) | CONDOMINIO PORTAL DAS HORTENCIAS (1) | CRIMEIA OESTE (1) | VILA MARTINS EXTENSAO NOVO MUNDO (1) | JARDIM NOVO PETROPOLIS (1) | JD NOVO PETROPOLIS (1) | JARDIM CURITIBA I (1) | PARQUE MARACANA (1) | VILA CLEMENTE (1)	JARDIM NOVA ESPERANÇA (612) | JARDIM NOVO MUNDO (404) | JARDIM COLORADO (341) | JARDIM LIBERDADE (283) | VILA MUTIRÃO (246) | NOVO PLANALTO (195) | JARDIM DAS HORTENCIAS (181) | SANTOS DUMONT (165) | JARDIM CURITIBA IV (128) | MANSÓES PARAISO (109) | JARDIM VISTA BELA (102) | CANDIDA DE MORAES (99) | VILA SÃO JOSÉ (89) | VILA JOÃO VAZ (69) | CAPUAVA (66) | SÃO CARLOS (66) | BAIRRO DA VITÓRIA (52) | PARQUE TREMENDÃO (50) | RESIDENCIAL FORTALEZA (43) | JARDIM PETROPOLIS (42) | VILA FINSOCIAL (42) | RESIDENCIAL PRIVE NORTE (38) | SETOR NOROESTE (38) | SETOR MARABÁ (38) | SETOR AEROVIARIO (36) | RESIDENCIAL MARINGÁ (34) | VILA REGINA (34) | NOVO MUNDO (31) | MORADA DO SOL (30) | RESIDENCIAL GREEN PARK (28) | ALBINO BOAVENTURA (27) | SETOR PROGRESSO (24) | SETOR PERIM (24) | JARDIM CLARISSA (22) | JARDIM HELLOU (20) | VILA CRISTINA (18) | JARDIM GRAMADO (17) | VILA MORAIS (17) | VILA MARIA DILCE (17) | BARRA DA TIJUCA (16) | VILA MARIA LUIZA (15) | JARDIM BONANZA (13) | JARDIM CAMARGO (12) | CANDIDA DE MORAIS (11) | RESIDENCIAL ITAMARACÁ (11) | RESIDENCIAL ANGLO (10) | AGUÁ BRANCA (9) | JD NOVA ESPERANÇA (8) | RESIDENCIAL 14 BIS (8) | RESIDENCIAL HUGO DE MORAES (8) | VILA MUTIRÃO II (8) | ESPLANADA DO ANICUNS (8) | SETOR SEVENE (7) | VALE DOS CARAIBAS (6) | SÃO JOSE (6) | JARDIM BRASIL (6) | VILA MARTINS (5) | VISTA BELA (5) | AEROVIÁRIO (4) | RESIDENCIAL MANSÕES PARAÍSO (4) | JD. NOVO MUNDO (3) | JD DAS HORTENCIAS (3) | VILA MUTIRÃO I (3) | RESIDENCIAL VALE DO ARAGUAIA (3) | PARQUE INDUSTRIAL PAULISTA (3) | CONJUNTO RIVIERA (3) | NOVA ESPERANÇA (3) | SETOR EMPRESARIAL (3) | VILA ROMANA (3) | JARDIM CALIFORNIA (2) | RECREIO SÃO JOAQUIM (2) | MANSÕES ROSAS DE OURO (2) | NOROESTE (2) | JOÃO VAZ (2) | CHACARAS MANSOES ROSAS DE OURO (2) | JARDIM CURITIBA 4 (2) | JARDIM HELOU (2) | JD COLORADO (2) | SETOR CÂNDIDA DE MORAIS (2) | JARDIM CURITIBA II (2) | PQ TREMENDÃO (2) | VALE DAS CARAÍBAS (2) | FINSOCIAL (2) | RESIDENCIAL ANGULO (2) | RESIDENCIAL ARUANA (2) | SETOR VISTA BELA (1) | VILA  SÃO JOSÉ (1) | JARDIM  NOVO MUNDO (1) | JARDIM NOVO MUNDO II (1) | PERIM (1) | CANDIDA DE MORAES. (1) | VALE DO ARAGUAIA (1) | VILA MULTIRÃO (1) | MARABÁ (1) | JARDIM COLORADO EXTEÇÃO (1) | JARDIM NOVA ESPERANÇAA (1) | CONDOMINIO RIO BRANCO (1) | JARDIM EMANUELE (1) | SETOR ESTRELA DALVA (1) | NOVO PLALNALTO (1) | CURITIBA I (1) | JD. NOVA ESPERANÇA (1) | PQ.TREMENDÃO (1) | JARDIM EMANUELY (1) | CAPUAVA RESIDENCIAL PRIVÊ (1) | JD. CALIFÓRNIA (1) | JD LIBERDADE (1) | JARDIM LAGO AZUL (1) | BAIRRO PERIM (1) | JARDIM COLORADO EXTENSÃO (1) | SETOR SAO CARLOS (1) | SÃO MARCOS I (1) | SETOR VALE DOS CARAIBAS (1) | JARDIM CALIFONIA (1) | RESIDENCIAL BUENA VISTA 4 (1) | CH RECREIO SÃO JOAQUIM (1) | SETOR  PROGRESSO (1) | PARQUE TREMEDÃO (1) | RESIDENCIAL ALBINO BOAVENTURA (1) | SETOR PQ. TREMENDÃO (1) | RESIDENCIAL EMANUELE (1) | JD. CURITIBA (1) | JARDIM CURITIBA 1 (1) | RESIDENCIAL FLORESTA (1) | PARQUE INDUSTRIAL JOAO BRAZ (1) | SETOR BARRA DA TIJUCA (1) | JD. EMANUELLE - NOVO MUNDO (1) | JARDIM CURITIBA 04 (1) | JD NOVO MUNDO (1) | JARDIM CURITIBA III (1) | PARUE TREMENDÃO (1) | COLORADO (1) | NOVO MUNDO II (1) | PQ INDUSTRIAL PAULISTA (1) | VILA MORAIS NOVO MUNDO (1) | BAIRRO CAPUAVA (1) | MARIA LUIZA (1) | CENTRO (1) | RESIDENCIAL ARAGUAIA (1) | CONDOMINIO PORTAL DAS HORTÊNCIAS (1) | CRIMEIA OESTE (1) | VILA MARTINS - EXTENSÃO - NOVO MUNDO (1) | BAIRRO SAO CARLOS (1) | JARDIM NOVO PETROPOLIS (1) | JD NOVO PETROPOLIS (1) | JARDIM CURITIBA I (1) | PARQUE MARACANA (1) | VILA CLEMENTE (1) | CURITIBA IV (1)
74140000	4	05_BAIRROS_DIFERENTES_REVISAR	JARDIM COLORADO	25.0	4	0.429	JARDIM COLORADO (1) | MORADA DO SOL (1) | MANSOES PARAISO (1) | JARDIM DAS HORTENCIAS (1)	JARDIM COLORADO (1) | MORADA DO SOL (1) | MANSÕES PARAISO (1) | JARDIM DAS HORTENCIAS (1)
74340500	3	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	JARDIM NOVA ESPERANCA	66.7	2	0.952	JARDIM NOVA ESPERANCA (2) | JARDIN NOVA ESPERANCA (1)	JARDIM NOVA ESPERANÇA (2) | JARDIN NOVA ESPERANÇA (1)
74354632	2	04_NOME_PARECIDO_REVISAR	JARDIM CARAVELAS	50.0	2	0.800	JARDIM CARAVELAS (1) | JARDIM CARAVELAS 1 ETAPA (1)	JARDIM CARAVELAS (1) | JARDIM CARAVELAS 1ª ETAPA (1)
74354636	2	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	JARDIM CRAVELAS	50.0	2	0.933	JARDIM CRAVELAS (1) | JARDM CARAVELAS (1)	JARDIM CRAVELAS (1) | JARDM CARAVELAS (1)
74354640	2	04_NOME_PARECIDO_REVISAR	JARDIM CARAVELAS	50.0	2	0.720	JARDIM CARAVELAS (1) | CARAVELAS (1)	JARDIM CARAVELAS (1) | SETOR CARAVELAS (1)
74375110	2	05_BAIRROS_DIFERENTES_REVISAR	PARQUE OESTE INDUSTRIAL	50.0	2	0.222	PARQUE OESTE INDUSTRIAL (1) | GOIA (1)	PARQUE OESTE INDUSTRIAL (1) | BAIRRO GOIA (1)
74393820	2	05_BAIRROS_DIFERENTES_REVISAR	LOTEAMENTO ALPHAVILLE RESIDENCIAL	50.0	2	0.509	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1) | RESIDENCIAL ALPHAVILLE (1)	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1) | RESIDENCIAL ALPHAVILLE (1)
