CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	FAMILIAS
70000000	12	CEP_AMBIGUO	JARDIM COLORADO	JARDIM COLORADO (2) | VILA SAO JOSE (2) | CANDIDA DE MORAIS (1) | JARDIM HELLOU (1) | PROGRESSO (1) | JARDIM NOVO MUNDO (1) | VILA MARIA DILCE (1) | VILA MUTIRAO 1 (1) | JARDIM DAS HORTENCIAS (1) | MORADA DO SOL (1)
74000000	4180	CEP_AMBIGUO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA (621) | JARDIM NOVO MUNDO (409) | JARDIM COLORADO (343) | JARDIM LIBERDADE (284) | VILA MUTIRAO (247) | NOVO PLANALTO (196) | JARDIM DAS HORTENCIAS (184) | SANTOS DUMONT (165) | JARDIM CURITIBA IV (132) | MANSOES PARAISO (109) | JARDIM VISTA BELA (102) | CANDIDA DE MORAES (100) | VILA SAO JOSE (90) | VILA JOAO VAZ (69) | SAO CARLOS (68) | CAPUAVA (67) | PARQUE TREMENDAO (55) | DA VITORIA (52) | RESIDENCIAL FORTALEZA (43) | JARDIM PETROPOLIS (42) | VILA FINSOCIAL (42) | NOROESTE (40) | AEROVIARIO (40) | MARABA (39) | RESIDENCIAL PRIVE NORTE (38) | VILA REGINA (34) | RESIDENCIAL MARINGA (34) | NOVO MUNDO (31) | MORADA DO SOL (30) | RESIDENCIAL GREEN PARK (28) | ALBINO BOAVENTURA (27) | PERIM (26) | PROGRESSO (25) | JARDIM CLARISSA (22) | JARDIM HELLOU (20) | VILA CRISTINA (18) | JARDIM GRAMADO (17) | VILA MORAIS (17) | VILA MARIA DILCE (17) | BARRA DA TIJUCA (17) | VILA MARIA LUIZA (15) | JARDIM BONANZA (13) | CANDIDA DE MORAIS (13) | JARDIM CAMARGO (12) | RESIDENCIAL ITAMARACA (11) | RESIDENCIAL ANGLO (10) | AGUA BRANCA (9) | ESPLANADA DO ANICUNS (8) | VILA MUTIRAO II (8) | RESIDENCIAL 14 BIS (8) | RESIDENCIAL HUGO DE MORAES (8) | SEVENE (7) | VALE DOS CARAIBAS (7) | SAO JOSE (6) | JARDIM BRASIL (6) | VISTA BELA (6) | VILA MARTINS (5) | RESIDENCIAL MANSOES PARAISO (4) | PARQUE INDUSTRIAL PAULISTA (4) | JARDIM CALIFORNIA (4) | EMPRESARIAL (3) | VILA ROMANA (3) | VILA MUTIRAO I (3) | RESIDENCIAL VALE DO ARAGUAIA (3) | NOVA ESPERANCA (3) | CONJUNTO RIVIERA (3) | RESIDENCIAL ARUANA (2) | FINSOCIAL (2) | RESIDENCIAL ANGULO (2) | RECREIO SAO JOAQUIM (2) | MANSOES ROSAS DE OURO (2) | JOAO VAZ (2) | JARDIM HELOU (2) | CHACARAS MANSOES ROSAS DE OURO (2) | JARDIM CURITIBA II (2) | VALE DAS CARAIBAS (2) | VILA MORAIS NOVO MUNDO (1) | MARIA LUIZA (1) | CENTRO (1) | COLORADO (1) | NOVO MUNDO II (1) | JD NOVO PETROPOLIS (1) | JARDIM CURITIBA I (1) | PARQUE MARACANA (1) | VILA CLEMENTE (1) | RESIDENCIAL ARAGUAIA (1) | CONDOMINIO PORTAL DAS HORTENCIAS (1) | CRIMEIA OESTE (1) | VILA MARTINS EXTENSAO NOVO MUNDO (1) | JARDIM NOVO PETROPOLIS (1) | VALE DO ARAGUAIA (1) | JARDIM COLORADO EXTECAO (1) | JARDIM NOVO MUNDO II (1) | CURITIBA I (1) | JARDIM NOVA ESPERANCAA (1) | CONDOMINIO RIO BRANCO (1) | JARDIM EMANUELE (1) | ESTRELA DALVA (1) | JARDIM LAGO AZUL (1) | JARDIM EMANUELY (1) | CAPUAVA RESIDENCIAL PRIVE (1) | JARDIM COLORADO EXTENSAO (1) | SAO MARCOS I (1) | RESIDENCIAL ALBINO BOAVENTURA (1) | PQ TREMENDAO (1) | RESIDENCIAL EMANUELE (1) | RESIDENCIAL BUENA VISTA 4 (1) | CH RECREIO SAO JOAQUIM (1) | JARDIM CURITIBA III (1) | JARDIM CURITIBA (1) | JARDIM CURITIBA 1 (1) | RESIDENCIAL FLORESTA (1) | PARQUE INDUSTRIAL JOAO BRAZ (1) | JD EMANUELLE NOVO MUNDO (1)
74400000	63	CEP_AMBIGUO	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO (13) | JARDIM COLORADO (10) | JARDIM NOVA ESPERANCA (6) | JARDIM CURITIBA IV (4) | JARDIM DAS HORTENCIAS (3) | VILA JOAO VAZ (2) | NOVO PLANALTO (2) | VILA CRISTINA CONTINUACAO (2) | MANSOES PARAISO (2) | JARDIM VISTA BELA (1) | JARDIM GRAMADO (1) | CANDIDA DE MORAIS (1) | ESTRELA DALVA (1) | JARDIM LIBERDADE (1) | MORADA DO SOL (1) | VILA MUTIRAO (1) | NOROESTE (1) | VILA ROMANA (1) | PARQUE INDUSTRIAL PAULISTA (1) | JARDIM PETROPOLIS (1) | VILA REGINA (1) | RESIDENCIAL FORTALEZA (1) | SANTOS DUMONT (1) | CONJUNTO RESIDENCIAL ARUANA III (1) | VILA MARTINS (1) | DA VITORIA (1) | CAPUAVA (1) | JARDIM NOVO PETROPOLIS (1)
74465140	130	CEP_AMBIGUO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANCA (83) | JARDIM COLORADO (13) | JARDIM DAS HORTENCIAS (8) | NOVO PLANALTO (5) | MARABA (4) | CANDIDA DE MORAES (3) | JARDIM LIBERDADE (2) | MANSOES PARAISO (2) | NOROESTE (2) | NOVA ESPERANCA (2) | ALBINO BOAVENTURA (1) | VILA FINSOCIAL (1) | JARDIM HELLOU (1) | RESIDENCIAL MANSOES PARAISO (1) | PARQUE TREMENDAO (1) | MORADA DO SOL (1)
74470710	17	CEP_AMBIGUO	JARDIM HELLOU	JARDIM HELLOU (10) | RESIDENCIAL JARDIM HELOU (2) | JARDIM DAS HORTENCIAS (1) | JARDIM HELOU (1) | JARDIM VISTA BELA (1) | CHACARAS MANSOES ROSAS DE OURO (1) | JARDIM CAMARGO (1)
74474140	25	CEP_AMBIGUO	JARDIM DAS HORTENCIAS	JARDIM DAS HORTENCIAS (16) | JARDIM CURITIBA IV (2) | PARQUE TREMENDAO (2) | PORTAL DAS HORTENCIAS (1) | CANDIDA DE MORAES (1) | RESIDENCIAL GREEN PARK (1) | JARDIM COLORADO (1) | NOVO PLANALTO (1)
74474203	60	CEP_AMBIGUO	JARDIM VISTA BELA	JARDIM VISTA BELA (54) | PARQUE TREMENDAO (1) | JARDIM LIBERDADE (1) | NOVO PLANALTO (1) | VISTA BELA (1) | JARDIM DAS HORTENCIAS (1) | MANSOES PARAISO (1)
74480650	30	CEP_AMBIGUO	JARDIM CURITIBA IV	JARDIM CURITIBA IV (19) | JARDIM CURITIBA (8) | VILA MUTIRAO (1) | SAO CARLOS (1) | JARDIM LIBERDADE (1)
74480800	11	CEP_AMBIGUO	JARDIM CURITIBA IV	JARDIM CURITIBA IV (5) | JARDIM CURITIBA (2) | VILA MUTIRAO (1) | JARDIM CURITIBA II (1) | JARDIM CURITIBA 2 (1) | JARDIM CURITIBA 3 (1)
74710260	115	CEP_AMBIGUO	JARDIM NOVO MUNDO	JARDIM NOVO MUNDO (111) | RESID EMANUELLI JARDIM NOVO MUNDO (1) | JARDIM EMANUELI (1) | JD EMANUELLE NOVO MUNDO (1) | JARDIM NOVO MUNDO 3 (1)
