CEP	BAIRRO_PADRAO_CANDIDATO	CLIENTES	VARIACOES
03387020	JARDIM COLORADO	1	JARDIM COLORADO (1)
12174465	JARDIM NOVA ESPERANCA	1	JARDIM NOVA ESPERANÇA (1)
12929662	VILA MARIA JOSE	1	VILA MARIA JOSÉ (1)
14580535	PROGRESSO	1	SETOR PROGRESSO (1)
47744120	JARDIM DAS HORTENCIAS	1	JARDIM DAS HORTENCIAS (1)
49980000	CENTRO	1	CENTRO (1)
53401010	CENTRO	1	Centro (1)
55192110	CENTRO	2	CENTRO (2)
62993713	JARDIM NOVA ESPERANCA	1	JARDIM NOVA ESPERANÇA (1)
66147446	NOROESTE	1	SETOR NOROESTE (1)
69074660	JARDIM LIBERDADE	1	JARDIM LIBERDADE (1)
70470517	JARDIM NOVO MUNDO	1	JARDIM NOVO MUNDO (1)
70713174	JARDIM NOVO MUNDO	1	JARDIM NOVO MUNDO (1)
72460480	JARDIM CURITIBA IV	1	JARDIM CURITIBA IV (1)
73463480	SANTOS DUMONT	1	SANTOS DUMONT (1)
74000197	JARDIM LIBERDADE	1	JARDIM LIBERDADE (1)
74075120	AEROVIARIO	1	SETOR AEROVIARIO (1)
74133090	DA VITORIA	1	BAIRRO DA VITORIA (1)
74160200	JARDIM NOVA ESPERANCA	1	JARDIM NOVA ESPERANÇA (1)
74175460	VILA MULTIDAO LL	1	VILA MULTIDÃO LL (1)
74215030	JARDIM DAS HORTENCIAS	1	JARDIM DAS HORTÊNCIAS (1)
74230903	CANDIDA DE MORAES	1	CANDIDA DE MORAES (1)
74320440	VILA JOAO VAZ	1	VILA JOAO VAZ (1)
74323065	CAPUAVA	1	BAIRRO CAPUAVA (1)
74340500	JARDIM NOVA ESPERANCA	3	JARDIM NOVA ESPERANÇA (2) | JARDIN NOVA ESPERANÇA (1)
74353550	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74354608	JARDIM CARAVELAS	1	JARDIM CARAVELAS (1)
74354612	JARDIM CARAVELAS	1	JARDIM CARAVELAS (1)
