CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	FAMILIAS
57200000	3	BAIRROS_DIFERENTES	CENTRO	CENTRO (2) | DOM COSTANTINO (1)
74140000	4	BAIRROS_DIFERENTES	JARDIM DAS HORTENCIAS	JARDIM DAS HORTENCIAS (1) | JARDIM COLORADO (1) | MORADA DO SOL (1) | MANSOES PARAISO (1)
74354632	2	CANDIDATO_REVISAR_EQUIVALENCIA	JARDIM CARAVELAS	JARDIM CARAVELAS (1) | JARDIM CARAVELAS 1 ETAPA (1)
74354636	2	BAIRROS_DIFERENTES	JARDIM CARAVELAS	JARDIM CARAVELAS (1) | JARDIM CRAVELAS (1)
74354640	2	BAIRROS_DIFERENTES	JARDIM CARAVELAS	JARDIM CARAVELAS (1) | CARAVELAS (1)
74375110	2	BAIRROS_DIFERENTES	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (1) | GOIA (1)
74393820	2	BAIRROS_DIFERENTES	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1) | RESIDENCIAL ALPHAVILLE (1)
74394620	3	BAIRROS_DIFERENTES	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (2) | BUENA VISTA IV (1)
74435115	9	BAIRROS_DIFERENTES	AEROVIARIO	AEROVIARIO (8) | VILA SAO JOSE (1)
74435280	7	BAIRROS_DIFERENTES	AEROVIARIO	AEROVIARIO (6) | VILA SAO JOSE (1)
74440030	2	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (1) | SAO JOSE (1)
74440060	16	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (12) | VILA SAO JOSE (4)
74440080	3	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (2) | SAO JOSE (1)
74440120	3	BAIRROS_DIFERENTES	SAO JOSE	SAO JOSE (2) | AEROVIARIO (1)
74440130	4	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (3) | VILA SAO JOSE (1)
74440140	4	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (3) | VILA SAO JOSE (1)
74440145	7	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (4) | VILA SAO JOSE (3)
74440240	7	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (5) | VILA SAO JOSE (2)
74440245	5	CANDIDATO_REVISAR_EQUIVALENCIA	VILA SAO JOSE	VILA SAO JOSE (3) | SAO JOSE (2)
74440250	11	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (7) | VILA SAO JOSE (4)
74440300	9	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (6) | VILA SAO JOSE (3)
74440310	7	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (6) | VILA SAO JOSE (1)
74440340	7	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (4) | VILA SAO JOSE (3)
74440360	4	CANDIDATO_REVISAR_EQUIVALENCIA	SAO JOSE	SAO JOSE (2) | VILA SAO JOSE (2)
